gaze_x,gaze_y,timestamp
469,745,2025-06-02 15:23:10.781339
483,748,2025-06-02 15:23:11.082015
485,750,2025-06-02 15:23:11.183092
488,756,2025-06-02 15:23:11.293321
995,362,2025-06-02 15:23:11.743909
1041,309,2025-06-02 15:23:11.982398
1049,295,2025-06-02 15:23:12.094851
1052,288,2025-06-02 15:23:12.198939
1053,283,2025-06-02 15:23:12.298752
1053,280,2025-06-02 15:23:12.406361
1050,279,2025-06-02 15:23:12.516213
1045,280,2025-06-02 15:23:12.626236
1527,909,2025-06-02 15:23:13.391659
1520,923,2025-06-02 15:23:13.514133
1512,928,2025-06-02 15:23:13.624984
1501,929,2025-06-02 15:23:13.740613
1484,928,2025-06-02 15:23:13.863472
1445,923,2025-06-02 15:23:14.073563
660,320,2025-06-02 15:23:14.763666
661,322,2025-06-02 15:23:14.873517
661,322,2025-06-02 15:23:14.980982
663,324,2025-06-02 15:23:15.089173
664,326,2025-06-02 15:23:15.197391
664,329,2025-06-02 15:23:15.307936
310,860,2025-06-02 15:23:15.979238
301,867,2025-06-02 15:23:16.085735
298,872,2025-06-02 15:23:16.195834
300,880,2025-06-02 15:23:16.305694
332,1014,2025-06-02 15:23:17.082606
764,892,2025-06-02 15:23:17.657527
859,905,2025-06-02 15:23:17.986132
859,911,2025-06-02 15:23:18.104612
857,914,2025-06-02 15:23:18.210780
856,914,2025-06-02 15:23:18.311012
856,915,2025-06-02 15:23:18.419983
855,916,2025-06-02 15:23:18.527165
850,922,2025-06-02 15:23:18.630615
781,222,2025-06-02 15:24:13.758278
922,297,2025-06-02 15:24:14.227702
987,340,2025-06-02 15:24:14.653539
1000,350,2025-06-02 15:24:14.797254
1010,358,2025-06-02 15:24:14.925518
1016,364,2025-06-02 15:24:15.063224
260,595,2025-06-02 15:24:15.732281
250,666,2025-06-02 15:24:16.531874
255,654,2025-06-02 15:24:16.664217
263,643,2025-06-02 15:24:16.797699
269,635,2025-06-02 15:24:16.930385
263,626,2025-06-02 15:24:17.064810
262,619,2025-06-02 15:24:17.197076
267,617,2025-06-02 15:24:17.331175
279,611,2025-06-02 15:24:17.463708
287,606,2025-06-02 15:24:17.597778
294,603,2025-06-02 15:24:17.730373
301,595,2025-06-02 15:24:17.863055
302,590,2025-06-02 15:24:17.998342
300,585,2025-06-02 15:24:18.130800
289,574,2025-06-02 15:24:18.263741
281,562,2025-06-02 15:24:18.396976
273,554,2025-06-02 15:24:18.530070
267,555,2025-06-02 15:24:18.661958
257,558,2025-06-02 15:24:18.796665
247,556,2025-06-02 15:24:18.929846
242,554,2025-06-02 15:24:19.062187
241,547,2025-06-02 15:24:19.195500
241,543,2025-06-02 15:24:19.329467
242,539,2025-06-02 15:24:19.462686
243,536,2025-06-02 15:24:19.597012
239,529,2025-06-02 15:24:19.729377
242,523,2025-06-02 15:24:19.862053
242,519,2025-06-02 15:24:19.995602
178,537,2025-06-02 15:24:20.261158
223,498,2025-06-02 15:24:20.661233
466,297,2025-06-02 15:24:21.202076
633,250,2025-06-02 15:24:22.009517
723,250,2025-06-02 15:24:22.527020
1162,870,2025-06-02 15:24:23.342846
1164,873,2025-06-02 15:24:23.476501
1165,877,2025-06-02 15:24:23.609058
1158,878,2025-06-02 15:24:23.742773
1151,877,2025-06-02 15:24:23.879617
438,756,2025-06-02 15:25:27.580919
432,761,2025-06-02 15:25:27.941130
438,771,2025-06-02 15:25:28.083930
721,802,2025-06-02 15:25:28.490807
1449,180,2025-06-02 15:25:29.441523
1446,171,2025-06-02 15:25:29.574279
1437,160,2025-06-02 15:25:29.722574
1431,158,2025-06-02 15:25:29.840165
1535,959,2025-06-02 15:25:30.357525
1523,948,2025-06-02 15:25:30.489814
1514,935,2025-06-02 15:25:30.623596
1506,923,2025-06-02 15:25:30.756210
566,676,2025-06-02 15:28:13.163724
572,674,2025-06-02 15:28:13.531525
828,483,2025-06-02 15:28:13.789838
907,417,2025-06-02 15:28:14.328034
916,411,2025-06-02 15:28:14.461011
920,407,2025-06-02 15:28:14.595092
925,404,2025-06-02 15:28:14.731614
928,402,2025-06-02 15:28:14.862178
799,355,2025-06-02 15:28:15.120476
638,442,2025-06-02 15:28:15.910026
654,350,2025-06-02 15:28:16.293778
653,342,2025-06-02 15:28:16.427174
663,335,2025-06-02 15:28:16.560347
664,331,2025-06-02 15:28:16.709772
315,328,2025-06-02 15:28:17.392915
309,327,2025-06-02 15:28:17.526538
291,356,2025-06-02 15:28:17.792297
301,359,2025-06-02 15:28:17.937413
337,358,2025-06-02 15:28:18.191989
621,319,2025-06-02 15:28:18.873538
694,311,2025-06-02 15:28:19.124867
708,312,2025-06-02 15:28:19.258477
718,313,2025-06-02 15:28:19.391116
408,241,2025-06-02 15:28:19.798408
298,196,2025-06-02 15:28:20.224654
291,190,2025-06-02 15:28:20.359524
841,142,2025-06-02 15:28:21.032880
1457,705,2025-06-02 15:28:21.718598
1487,849,2025-06-02 15:28:22.122038
1483,854,2025-06-02 15:28:22.256153
1470,853,2025-06-02 15:28:22.415212
1455,850,2025-06-02 15:28:22.554596
1440,850,2025-06-02 15:28:22.700406
453,747,2025-06-02 15:28:23.348500
415,738,2025-06-02 15:28:23.616079
409,740,2025-06-02 15:28:23.769354
406,732,2025-06-02 15:28:23.888458
409,728,2025-06-02 15:28:24.021194
414,724,2025-06-02 15:28:24.154202
381,384,2025-06-02 15:28:24.564343
328,318,2025-06-02 15:28:24.836951
335,302,2025-06-02 15:28:24.974374
348,301,2025-06-02 15:28:25.119406
356,299,2025-06-02 15:28:25.253655
363,308,2025-06-02 15:28:25.385580
272,554,2025-06-02 15:30:30.447675
557,463,2025-06-02 15:30:31.048638
1053,499,2025-06-02 15:30:31.978108
1178,698,2025-06-02 15:30:32.536674
1177,708,2025-06-02 15:30:32.669432
1170,714,2025-06-02 15:30:32.803120
526,854,2025-06-02 15:30:33.869017
522,838,2025-06-02 15:30:34.002508
515,828,2025-06-02 15:30:34.135715
510,814,2025-06-02 15:30:34.269569
392,860,2025-06-02 15:30:34.801190
400,843,2025-06-02 15:30:34.919404
297,774,2025-06-02 15:30:35.333605
288,522,2025-06-02 15:30:36.323848
274,510,2025-06-02 15:30:36.464912
271,504,2025-06-02 15:30:36.593455
271,499,2025-06-02 15:30:36.732992
287,488,2025-06-02 15:30:36.849933
306,302,2025-06-02 15:30:38.236325
302,284,2025-06-02 15:30:38.381123
301,281,2025-06-02 15:30:38.498244
308,290,2025-06-02 15:30:38.616670
399,357,2025-06-02 15:30:39.156973
490,298,2025-06-02 15:30:39.683121
499,293,2025-06-02 15:30:39.815586
505,306,2025-06-02 15:30:39.948462
490,435,2025-06-02 15:30:40.231050
495,427,2025-06-02 15:30:40.364166
385,552,2025-06-02 15:30:40.637089
389,548,2025-06-02 15:30:40.779545
471,454,2025-06-02 15:30:41.030406
476,453,2025-06-02 15:30:41.163366
484,449,2025-06-02 15:30:41.297881
493,446,2025-06-02 15:30:41.446200
504,449,2025-06-02 15:30:41.578877
514,451,2025-06-02 15:30:41.711505
523,455,2025-06-02 15:30:41.833517
414,553,2025-06-02 15:30:42.104682
300,610,2025-06-02 15:30:42.390088
298,781,2025-06-02 15:30:42.923090
406,820,2025-06-02 15:30:43.171343
465,829,2025-06-02 15:30:43.561531
474,833,2025-06-02 15:30:43.699217
466,839,2025-06-02 15:30:43.844540
293,839,2025-06-02 15:30:44.119580
253,840,2025-06-02 15:30:44.399456
246,840,2025-06-02 15:30:44.527970
236,826,2025-06-02 15:30:44.676447
305,441,2025-06-02 15:30:45.759704
409,378,2025-06-02 15:30:46.152704
513,329,2025-06-02 15:30:46.675620
380,320,2025-06-02 15:30:46.956236
295,317,2025-06-02 15:30:47.226635
283,314,2025-06-02 15:30:47.359508
449,277,2025-06-02 15:30:47.617941
633,301,2025-06-02 15:30:48.675166
645,307,2025-06-02 15:30:48.807947
654,314,2025-06-02 15:30:48.940478
660,315,2025-06-02 15:30:49.080825
569,390,2025-06-02 15:30:49.357950
567,382,2025-06-02 15:30:49.490053
568,379,2025-06-02 15:30:49.624243
576,383,2025-06-02 15:30:49.761553
595,419,2025-06-02 15:30:50.040363
599,425,2025-06-02 15:30:50.172314
604,425,2025-06-02 15:30:50.290299
586,266,2025-06-02 15:30:50.700562
580,182,2025-06-02 15:30:50.956643
581,174,2025-06-02 15:30:51.089806
579,189,2025-06-02 15:30:51.237071
584,250,2025-06-02 15:30:51.496987
597,282,2025-06-02 15:30:51.771237
603,290,2025-06-02 15:30:51.907072
617,296,2025-06-02 15:30:52.054054
625,307,2025-06-02 15:30:52.188681
633,311,2025-06-02 15:30:52.320508
634,316,2025-06-02 15:30:52.454348
622,328,2025-06-02 15:30:52.587524
611,328,2025-06-02 15:30:52.736420
605,329,2025-06-02 15:30:52.854921
598,328,2025-06-02 15:30:52.988078
587,329,2025-06-02 15:30:53.121693
584,329,2025-06-02 15:30:53.257462
586,327,2025-06-02 15:30:53.407638
589,326,2025-06-02 15:30:53.537526
591,328,2025-06-02 15:30:53.674676
594,327,2025-06-02 15:30:53.819523
596,327,2025-06-02 15:30:53.954388
598,327,2025-06-02 15:30:54.087253
600,328,2025-06-02 15:30:54.220253
602,329,2025-06-02 15:30:54.354272
352,358,2025-06-02 15:30:54.756293
335,368,2025-06-02 15:30:54.920242
347,363,2025-06-02 15:30:55.053700
541,363,2025-06-02 15:30:55.852232
547,366,2025-06-02 15:30:56.000504
553,367,2025-06-02 15:30:56.134800
556,367,2025-06-02 15:30:56.268482
545,465,2025-06-02 15:30:56.550236
554,457,2025-06-02 15:30:56.688183
561,449,2025-06-02 15:30:56.834264
596,399,2025-06-02 15:30:57.250657
597,397,2025-06-02 15:30:57.384191
501,444,2025-06-02 15:30:57.650615
517,444,2025-06-02 15:30:57.786430
531,447,2025-06-02 15:30:57.931842
526,627,2025-06-02 15:30:58.324940
592,833,2025-06-02 15:30:58.865769
1166,350,2025-06-02 15:30:59.815149
1172,347,2025-06-02 15:30:59.948916
484,1045,2025-06-02 15:31:00.483564
753,635,2025-06-02 15:31:01.030215
945,932,2025-06-02 15:31:02.219182
942,916,2025-06-02 15:31:02.362762
941,903,2025-06-02 15:31:02.480754
1487,214,2025-06-02 15:31:03.279636
1483,203,2025-06-02 15:31:03.428496
1468,202,2025-06-02 15:31:03.562627
1460,205,2025-06-02 15:31:03.695884
1449,208,2025-06-02 15:31:03.830657
1438,209,2025-06-02 15:31:03.962296
1423,213,2025-06-02 15:31:04.096064
1408,216,2025-06-02 15:31:04.228921
1398,223,2025-06-02 15:31:04.361785
936,883,2025-06-02 15:31:04.894899
931,889,2025-06-02 15:31:05.027452
920,887,2025-06-02 15:31:05.161589
910,887,2025-06-02 15:31:05.294385
906,888,2025-06-02 15:31:05.428139
902,889,2025-06-02 15:31:05.561022
897,889,2025-06-02 15:31:05.694214
894,886,2025-06-02 15:31:05.827837
892,879,2025-06-02 15:31:05.964389
887,874,2025-06-02 15:31:06.093795
884,871,2025-06-02 15:31:06.227683
881,868,2025-06-02 15:31:06.360224
879,865,2025-06-02 15:31:06.493593
878,860,2025-06-02 15:31:06.627504
877,857,2025-06-02 15:31:06.768526
1293,343,2025-06-02 15:31:07.311143
1299,337,2025-06-02 15:31:07.443226
1301,330,2025-06-02 15:31:07.576571
1297,318,2025-06-02 15:31:07.709179
1292,316,2025-06-02 15:31:07.842235
1286,315,2025-06-02 15:31:07.975182
1280,314,2025-06-02 15:31:08.094063
1271,315,2025-06-02 15:31:08.242667
1258,314,2025-06-02 15:31:08.375522
1248,315,2025-06-02 15:31:08.511335
1238,321,2025-06-02 15:31:08.657289
889,860,2025-06-02 15:31:09.197301
886,868,2025-06-02 15:31:09.325855
873,878,2025-06-02 15:31:09.458189
862,884,2025-06-02 15:31:09.590576
859,888,2025-06-02 15:31:09.735725
858,891,2025-06-02 15:31:09.875413
860,884,2025-06-02 15:31:10.007366
1185,414,2025-06-02 15:31:10.556567
1184,408,2025-06-02 15:31:10.690646
1177,402,2025-06-02 15:31:10.824383
1172,403,2025-06-02 15:31:10.956733
1169,406,2025-06-02 15:31:11.090252
918,870,2025-06-02 15:31:11.640305
915,875,2025-06-02 15:31:11.772867
922,881,2025-06-02 15:31:11.904938
1150,493,2025-06-02 15:31:12.297545
1187,435,2025-06-02 15:31:12.557170
1188,420,2025-06-02 15:31:12.690493
1180,423,2025-06-02 15:31:12.839859
1176,424,2025-06-02 15:31:12.972717
1171,426,2025-06-02 15:31:13.105000
1159,427,2025-06-02 15:31:13.254736
1151,428,2025-06-02 15:31:13.388066
1136,429,2025-06-02 15:31:13.524763
697,386,2025-06-02 15:31:13.781126
456,391,2025-06-02 15:31:14.188522
450,394,2025-06-02 15:31:14.325179
448,395,2025-06-02 15:31:14.469694
448,393,2025-06-02 15:31:14.606934
450,391,2025-06-02 15:31:14.753489
452,392,2025-06-02 15:31:14.888037
454,392,2025-06-02 15:31:15.025832
458,394,2025-06-02 15:31:15.169617
461,395,2025-06-02 15:31:15.318413
462,396,2025-06-02 15:31:15.452617
1024,590,2025-06-02 15:31:15.726235
1252,664,2025-06-02 15:31:16.166757
1250,663,2025-06-02 15:31:16.287676
1248,663,2025-06-02 15:31:16.427098
1246,663,2025-06-02 15:31:16.567742
1245,660,2025-06-02 15:31:16.702471
1243,660,2025-06-02 15:31:16.854925
1242,653,2025-06-02 15:31:17.001153
579,1005,2025-06-02 15:31:17.567161
883,853,2025-06-02 15:31:18.250296
917,885,2025-06-02 15:31:18.532902
920,893,2025-06-02 15:31:18.680845
920,897,2025-06-02 15:31:18.829659
923,901,2025-06-02 15:31:18.967032
926,902,2025-06-02 15:31:19.112799
928,905,2025-06-02 15:31:19.263512
930,906,2025-06-02 15:31:19.402976
932,908,2025-06-02 15:31:19.548764
779,989,2025-06-02 15:31:20.235436
878,940,2025-06-02 15:31:20.783128
675,484,2025-06-02 15:31:48.413102
776,476,2025-06-02 15:31:48.893587
793,480,2025-06-02 15:31:49.028181
806,489,2025-06-02 15:31:49.171784
821,497,2025-06-02 15:31:49.309170
830,501,2025-06-02 15:31:49.443974
834,506,2025-06-02 15:31:49.581275
841,516,2025-06-02 15:31:49.726601
846,523,2025-06-02 15:31:49.875009
853,532,2025-06-02 15:31:50.007822
858,536,2025-06-02 15:31:50.126919
859,541,2025-06-02 15:31:50.259254
842,546,2025-06-02 15:31:50.393688
279,305,2025-06-02 15:31:50.926252
275,298,2025-06-02 15:31:51.059151
270,294,2025-06-02 15:31:51.193182
274,288,2025-06-02 15:31:51.325867
288,286,2025-06-02 15:31:51.458200
552,259,2025-06-02 15:31:51.883762
1375,227,2025-06-02 15:31:53.123457
1568,203,2025-06-02 15:31:53.690327
1578,214,2025-06-02 15:31:53.823187
1503,376,2025-06-02 15:31:54.235795
1186,469,2025-06-02 15:31:54.513861
521,524,2025-06-02 15:31:55.070652
422,539,2025-06-02 15:31:55.606251
419,541,2025-06-02 15:31:55.755993
434,549,2025-06-02 15:31:55.905130
583,656,2025-06-02 15:31:56.186585
613,688,2025-06-02 15:31:56.463792
622,700,2025-06-02 15:31:56.604904
630,711,2025-06-02 15:31:56.737682
634,717,2025-06-02 15:31:56.888069
637,720,2025-06-02 15:31:57.021086
639,722,2025-06-02 15:31:57.153799
642,724,2025-06-02 15:31:57.288381
642,726,2025-06-02 15:31:57.420165
637,728,2025-06-02 15:31:57.554639
310,608,2025-06-02 15:31:58.103621
326,446,2025-06-02 15:31:58.530272
419,305,2025-06-02 15:31:59.369216
433,298,2025-06-02 15:31:59.501885
447,294,2025-06-02 15:31:59.635970
708,263,2025-06-02 15:32:00.207676
862,522,2025-06-02 15:32:00.890333
676,715,2025-06-02 15:32:01.874921
499,557,2025-06-02 15:32:02.132143
236,573,2025-06-02 15:32:03.499688
236,584,2025-06-02 15:32:03.632956
230,588,2025-06-02 15:32:03.780932
230,596,2025-06-02 15:32:03.915258
232,603,2025-06-02 15:32:04.048423
235,640,2025-06-02 15:32:04.315433
234,649,2025-06-02 15:32:04.448137
222,804,2025-06-02 15:32:05.123339
220,817,2025-06-02 15:32:05.274962
283,220,2025-06-02 15:32:06.247469
292,211,2025-06-02 15:32:06.379508
309,211,2025-06-02 15:32:06.498962
830,815,2025-06-02 15:32:07.429194
835,829,2025-06-02 15:32:07.567033
842,842,2025-06-02 15:32:07.698595
845,849,2025-06-02 15:32:07.829597
847,852,2025-06-02 15:32:07.961921
483,301,2025-06-02 15:32:08.499479
456,279,2025-06-02 15:32:08.778466
463,270,2025-06-02 15:32:08.927485
468,272,2025-06-02 15:32:09.061261
472,274,2025-06-02 15:32:09.200168
476,276,2025-06-02 15:32:09.343320
484,276,2025-06-02 15:32:09.477617
497,278,2025-06-02 15:32:09.611232
796,477,2025-06-02 15:32:09.869892
1097,689,2025-06-02 15:32:10.287712
1109,710,2025-06-02 15:32:10.593056
1112,706,2025-06-02 15:32:10.743485
1111,703,2025-06-02 15:32:10.876529
1110,700,2025-06-02 15:32:11.010060
1109,695,2025-06-02 15:32:11.142854
1105,689,2025-06-02 15:32:11.282458
1104,683,2025-06-02 15:32:11.426107
1108,669,2025-06-02 15:32:11.560055
1161,551,2025-06-02 15:32:11.967897
800,503,2025-06-02 15:32:12.238568
559,485,2025-06-02 15:32:13.103098
506,528,2025-06-02 15:32:13.374550
525,508,2025-06-02 15:32:13.641326
526,510,2025-06-02 15:32:13.779884
532,513,2025-06-02 15:32:13.924039
536,514,2025-06-02 15:32:14.057184
536,512,2025-06-02 15:32:14.191255
526,451,2025-06-02 15:32:14.574575
534,427,2025-06-02 15:32:14.840926
543,422,2025-06-02 15:32:14.973153
551,423,2025-06-02 15:32:15.106632
558,427,2025-06-02 15:32:15.240309
572,429,2025-06-02 15:32:15.389594
585,430,2025-06-02 15:32:15.523095
592,433,2025-06-02 15:32:15.660076
598,436,2025-06-02 15:32:15.789486
515,599,2025-06-02 15:32:47.329221
524,584,2025-06-02 15:32:47.464383
558,541,2025-06-02 15:32:47.897017
567,531,2025-06-02 15:32:48.030923
587,501,2025-06-02 15:32:48.302355
361,444,2025-06-02 15:32:48.587482
282,432,2025-06-02 15:32:48.856659
253,316,2025-06-02 15:32:49.258231
258,278,2025-06-02 15:32:49.528519
500,296,2025-06-02 15:32:50.356998
1544,232,2025-06-02 15:32:51.585882
1605,219,2025-06-02 15:32:51.845509
1637,209,2025-06-02 15:32:52.110976
1645,207,2025-06-02 15:32:52.261069
1652,204,2025-06-02 15:32:52.394251
1657,205,2025-06-02 15:32:52.531258
1330,521,2025-06-02 15:32:53.078011
1091,693,2025-06-02 15:32:53.351513
899,791,2025-06-02 15:32:53.618869
673,807,2025-06-02 15:32:54.187294
656,800,2025-06-02 15:32:54.325247
647,799,2025-06-02 15:32:54.456746
641,796,2025-06-02 15:32:54.591961
639,793,2025-06-02 15:32:54.725148
376,775,2025-06-02 15:32:54.993338
1120,301,2025-06-02 15:32:56.202386
1135,295,2025-06-02 15:32:56.328342
1142,296,2025-06-02 15:32:56.472818
1144,295,2025-06-02 15:32:56.608252
1143,289,2025-06-02 15:32:56.757524
1140,289,2025-06-02 15:32:56.906306
1138,286,2025-06-02 15:32:57.023647
1134,287,2025-06-02 15:32:57.160511
1129,286,2025-06-02 15:32:57.306495
1124,287,2025-06-02 15:32:57.443719
1119,287,2025-06-02 15:32:57.588593
1116,287,2025-06-02 15:32:57.706372
1113,287,2025-06-02 15:32:57.839469
1110,287,2025-06-02 15:32:57.973354
1107,286,2025-06-02 15:32:58.106093
1104,287,2025-06-02 15:32:58.240247
1100,289,2025-06-02 15:32:58.374120
1097,290,2025-06-02 15:32:58.521573
730,319,2025-06-02 15:32:58.786334
312,337,2025-06-02 15:32:59.225147
278,349,2025-06-02 15:32:59.490321
272,351,2025-06-02 15:32:59.622683
266,349,2025-06-02 15:32:59.766529
262,349,2025-06-02 15:32:59.891749
266,351,2025-06-02 15:33:00.052085
281,356,2025-06-02 15:33:00.188523
289,359,2025-06-02 15:33:00.321372
295,362,2025-06-02 15:33:00.463842
464,457,2025-06-02 15:33:00.730066
965,755,2025-06-02 15:33:00.994709
1118,846,2025-06-02 15:33:01.434848
1124,850,2025-06-02 15:33:01.570271
1126,852,2025-06-02 15:33:01.719538
1124,851,2025-06-02 15:33:01.865780
1119,845,2025-06-02 15:33:02.003342
1113,839,2025-06-02 15:33:02.137334
